Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,Learner 6,Learner 7,Learner 8,Learner 9,Learner 10,counter
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,2.220446049250313e-17,10
0.0,1.1102230246251566e-17,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,8.881784197001253e-17,0.0,0.0,10
0.0,1.1102230246251566e-17,0.0,0.0,0.0,-2.220446049250313e-16,4.440892098500626e-17,8.881784197001253e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,1.1102230246251566e-17,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,1.1102230246251566e-17,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,1.1102230246251566e-17,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,1.1102230246251566e-17,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,1.1102230246251566e-17,10
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,8.881784197001253e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,8.881784197001253e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.3322676295501878e-16,0.0,4.440892098500626e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,8.881784197001253e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,8.881784197001253e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,8.881784197001253e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.3322676295501878e-16,0.0,4.440892098500626e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,8.881784197001253e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,8.881784197001253e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,0.0,10
-1.1102230246251566e-17,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,1.3322676295501878e-16,0.0,1.1102230246251566e-17,10
-5.551115123125783e-18,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,8.881784197001253e-17,0.0,0.0,10
-5.551115123125783e-18,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,8.881784197001253e-17,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,-1.7763568394002506e-16,0.0,4.440892098500626e-17,0.0,3.3306690738754695e-17,10
-1.1102230246251566e-17,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,8.881784197001253e-17,0.0,4.440892098500626e-17,10
0.0,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,8.881784197001253e-17,0.0,2.220446049250313e-17,10
