,0
439,PEOE_VSA5
440,AATS7v
441,piPC4
442,VE1_Dzv
443,SlogP_VSA11
444,n12FRing
445,AATS3are
446,MATS4c
447,MATS8d
448,LogEE_Dzv
449,MATS8c
450,Kier1
451,ATS5s
452,ATS8se
453,AATSC4dv
454,IC0
455,ATS1s
456,ATSC4m
457,AATS4p
458,SlogP_VSA4
459,ATS1dv
460,ATS0se
461,nHBAcc
462,nN
463,nO
464,SMR_VSA2
465,ATS2dv
466,PEOE_VSA8
467,AATS0pe
468,MATS1c
469,ETA_dPsi_B
470,ATSC1c
471,WPath_ratio_nG12FARing
472,VE2_Dzv
473,piPC8_sum_GATS7d
474,AATSC6v
475,piPC9_sum_GATS7d
476,nBase
477,ATSC7se
478,ATSC6p
479,nFRing
480,ETA_dEpsilon_B
481,AATSC2d
482,AATS5pe
483,AATS2are
484,AATS8d
485,n5HRing
486,piPC10_sum_MATS5pe
487,nHRing
488,ATSC6pe
489,JGI6
490,ATSC5pe
491,AATS1s
492,AATSC0s_multiply_ATS6se
493,MATS8m_diff_TpiPC10
494,AATS1pe
495,AATS8se
496,AATS5s
497,AATS3se
498,AATS6s
499,AATS7s
500,nHetero
501,AATSC3Z
502,AATSC4v
503,piPC10
504,AATSC0pe
505,GATS5pe
506,SddsN
507,MATS5m
508,GATS8se
509,AATSC7se
510,ATS0are
511,GATS8s
512,BCUTse-1h
513,AATSC1pe
514,Xp-2d
515,MATS5Z
516,MATS7se
517,NdS
518,SM1_Dzare
519,MATS8m
520,ATS5pe
521,NaaS
522,ATS5i
523,MATS3Z
524,MATS2Z
525,BCUTm-1l
526,ATS1are
527,BertzCT
528,VR1_D
529,SZ
530,ETA_eta
531,AXp-3d
532,ATS3i
533,SpDiam_Dzse
534,Sse
535,SpAbs_Dzare
536,SssssC
537,GATS7d
538,Xch-4dv
539,MATS5s
540,Xch-5d
541,Xch-4d
542,MZ
543,Xc-3dv
544,SM1_Dzp
545,ATS8pe
546,MATS4p
547,AXp-7d
548,NaaCH
549,ETA_dAlpha_A
550,WPol
551,SRW10
552,SRW08
553,GATS1s
554,nBondsD
555,GATS2are
556,ATSC1p
557,SRW06
558,MATS5v
559,VR2_Dzpe
560,VR1_Dzpe
561,VE1_Dzpe
562,VE1_Dzse
563,AATSC6i
564,ETA_beta_ns
565,ETA_beta_s
566,MWC05
567,Sm
568,GATS5c
569,nBondsM
570,MATS6p
571,ATS1p
572,ETA_beta_ns_d
573,Xp-4dv
574,nBondsKS
575,GATS2d
576,SsCl
577,JGI9
578,JGT10
579,MATS2v
580,MATS5are
581,VR2_Dzare
582,MATS7s
583,AATSC0Z
584,ATSC0dv
585,AMID
586,MATS4s
587,NaaN
588,NsF
589,Zagreb2
590,MATS3c
591,ATSC7p
592,PEOE_VSA10
593,AMID_h
594,nBondsKD
595,ATSC0p
596,SpAD_Dzare
597,MATS2s_diff_piPC10
598,Zagreb1
599,SM1_Dzpe_sum_MATS3i
600,BCUTare-1h
601,ATS6Z
602,AATS6Z
603,nFaRing
604,VE3_Dzv
605,ATS8dv
606,ATS3p
607,ATS0pe
608,ATS5are
609,ATS7p
610,ATSC4dv
611,AATSC7c
612,BCUTZ-1h
613,ATSC3i
