,0
550,nAcid
551,ATSC5p
552,GATS8c
553,GATS7c
554,GATS3c
555,SaaNH
556,GATS1dv
557,SddssS
558,Spe
559,MATS1i
560,MATS8p
561,nC
562,nBridgehead
563,ETA_beta
564,ATS8v
565,NtN
566,AATS5Z
567,NdsN
568,AATS7Z
569,NssNH
570,AATS5s
571,ATS4i
572,ATS8pe
573,SdsN
574,NaaN
575,ATS6pe
576,ATS4pe
577,ATS0pe
578,ATS8se
579,ATS7se
580,AATS2dv
581,ATS3se
582,NddsN
583,StN
584,ATS3are
585,ATS2i
586,AATS2d
587,ATS1i
588,AATS4d
589,NaasN
590,AATS7d
591,ATS6p
592,ATS5p
593,ATS1se
594,MATS7p
595,nAromAtom
596,VE1_Dzare
597,ATS2d
598,GATS7d
599,GATS2Z
600,SaaO
601,SpMAD_Dzi
602,ATSC4v
603,ATSC5v
604,NdNH
605,SpDiam_Dzi
606,ATSC8v
607,ATSC0se
608,ATSC1se
609,AETA_eta_F
610,ATSC5se
611,SpMax_Dzi
612,MATS3v
613,ATSC0pe
614,SpAbs_Dzi
615,MATS2v
616,VR3_Dzp
617,MATS8v
618,MATS1v
619,MATS5m
620,ATSC0Z
621,VE3_Dzp
622,NsNH2
623,AMID_O
624,ATSC5Z
625,SM1_Dzp
626,MATS3m
627,AATS7m
628,GATS6dv
629,ATS0Z
630,ATS3v
631,ATS3d
632,SpMAD_Dzare
633,ETA_eta_FL
634,SpAD_Dzare
635,ATS8Z
636,ATS0m
637,MATS6p
638,ATS6m
639,ATS7m
640,SsF
641,ATS0v
642,MATS4p
643,ATS2v
644,VR3_Dzpe
645,ATS8s
646,ETA_eta_L
647,GATS4s
648,VR2_D
649,ATS5d
650,SpMax_Dzare
651,SpAbs_Dzp
652,VR3_D
653,ATS1s
654,ATS4s
655,GATS2d
656,ATS5s
657,ATS6s
658,ATS7s
659,VE1_Dzp
660,AATS2Z
661,MPC2
662,TIC3
663,mZagreb1
664,NsF
665,C2SP3
666,NdS
667,ETA_epsilon_3
668,TopoPSA_multiply_GATS4c
669,MATS8v_ratio_ATS4Z
670,ATSC6i_diff_SaaN
671,ATSC5d_ratio_Sv
672,NssS
673,NaaS
674,AATSC8dv_diff_SM1_Dzi
675,SdNH
676,MATS8dv_diff_GGI7
677,WPol
678,Xc-6d
679,ATSC6i_diff_MATS5m
680,MATS6dv
681,AATSC7i
682,NddssS
683,MWC01
684,GATS7Z_sum_ATSC6i
685,ATSC6i_diff_GATS8dv
686,ATSC6i_diff_GATS7are
687,Vabc
688,PetitjeanIndex
689,ATSC5d_ratio_SMR
690,ATSC6i_diff_SdsN
691,TopoShapeIndex
692,Radius
693,Zagreb2
694,ATSC5are_multiply_ATS6are
695,NaaO
696,C4SP3
697,MPC3
698,Xc-4d
699,Kier1
700,VE1_D
701,AATSC6s
702,Lipinski
703,GhoseFilter
704,AATSC7s
705,SdS
706,n8FRing
707,n9FRing
708,n10FRing
709,AATSC0Z
710,ETA_dAlpha_A
711,MATS8v_diff_GGI6
712,ETA_eta_R
713,IC2_multiply_GATS8m
714,Xch-4dv
715,Xch-7d
716,GATS7d_multiply_ATS1pe
717,StsC
718,AATS8s_diff_MATS8Z
719,Xch-4d
720,NssssC_multiply_nHetero
721,HybRatio
722,NssssC_multiply_ATSC0se
723,AATSC7m
724,AATSC8m
725,AATSC0v
726,C2SP2_multiply_AATS8p
727,NsCl
728,MATS2s
729,GGI2
730,GGI5
731,SRW09
732,GGI7
733,nG12FARing
734,n12FARing
735,n10FARing
736,n9FARing
737,nG12FRing
738,MATS7s
739,n8FHRing
740,n9FHRing
741,n10FHRing
742,n12FHRing
743,nG12FHRing
744,nFaRing
745,n9FaRing
746,n10FaRing
747,nFaHRing
748,n9FaHRing
749,n10FaHRing
750,nFARing
751,n8FARing
752,GGI8
753,SRW08
754,AMW
755,SRW04
756,MATS3s
757,MWC08
758,SRW07
759,GGI4
760,GGI1
761,MATS2c
762,SRW10
763,NsBr
764,Diameter
765,MATS8c
766,MATS5s
767,ATSC5d_ratio_AATS6v
768,JGI8
769,AATSC5i
770,GATS2Z_ratio_Xc-4dv
771,StCH
772,JGI7
773,MATS5d
774,SaaaC
775,ATS4s_diff_AATS7m
776,MATS3d
777,AATSC3i
778,MWC03
779,Zagreb1
780,WPath
781,n12FRing
782,SLogP
783,n8FAHRing
784,n9FAHRing
785,n10FAHRing
786,n12FAHRing
787,MWC04
788,MW
789,TSRW10
790,SMR
791,MATS6c
792,LogEE_D
793,AATSC5s
794,ZMIC0
795,SlogP_VSA4
796,n5ARing
797,TMPC10
798,n6ARing
799,n7ARing
800,nAHRing
801,n5AHRing
802,n6AHRing
803,n7AHRing
804,nFRing
805,n7HRing
806,GATS1pe
807,n5HRing
808,nHRing
809,piPC2
810,GATS6pe
811,MATS3Z
812,piPC5
813,piPC6
814,VE1_DzZ
815,Mpe
816,Xp-3dv
817,TpiPC10
818,apol
819,nRing
820,n4Ring
821,n5Ring
822,n6Ring
823,n7Ring
824,NssO
825,GATS2pe
826,NsOH
827,n5aHRing
828,GATS1are
829,Xpc-5d
830,GATS2m
831,MPC7
832,MDEC-23
833,Xp-3d
834,Xp-0dv
835,EState_VSA7
836,GATS8are
837,Xp-1dv
838,GATS3are
839,SaaS
840,SsBr
841,Xp-2dv
842,SssS
843,GATS5pe
844,VSA_EState7
845,AXp-5dv
846,VSA_EState1
847,VSA_EState2
848,AXp-3dv
849,GATS5se
850,VSA_EState5
851,MPC9
852,NtsC
853,n4ARing
854,naRing
855,n5aRing
856,n6aRing
857,SlogP_VSA5
858,SlogP_VSA7
859,BIC0
860,PEOE_VSA11
861,AATSC8are
862,nHBAcc
863,nBondsS
864,nBonds
865,IC3
866,VR3_Dzi
867,MIC0
868,SlogP_VSA1
869,AATSC6v
870,PEOE_VSA5
871,PEOE_VSA6
872,AATSC3d
873,PEOE_VSA9
874,AATSC5d
875,PEOE_VSA12
876,C1SP1
877,SMR_VSA1
878,VR1_Dzi
879,SMR_VSA2
880,SMR_VSA4
881,AATSC8d
882,SpAD_D
883,SMR_VSA7
884,SMR_VSA9
885,PEOE_VSA4
886,PEOE_VSA3
887,C2SP1
888,C3SP2
889,MIC2
890,AATSC1s
891,VR3_DzZ
892,ETA_dPsi_B
893,AATS0Z
894,Xc-6dv
895,AATSC5se
896,BIC1
897,VE3_D
898,AATSC8se
899,BIC5
900,AATSC4se
901,AATSC3are
902,AATSC2se
903,Mp
904,SIC1
905,CIC1
906,CIC2
907,VE1_Dzi
908,TIC2
909,MATS2Z
910,AATSC0se
911,IC5
912,ETA_dEpsilon_A
913,nBondsT
914,AATSC0are
915,ETA_dEpsilon_D
916,TIC4
917,nBondsD
918,nBondsA
919,Xpc-6d
920,VE2_DzZ
921,Xch-6dv
922,MATS5dv
923,GATS4d
924,LogEE_Dzare
925,GATS7v
926,BCUTpe-1h
927,AATS5i
928,AATS4v
929,BCUTZ-1h
930,ETA_eta
931,BIC4
932,AATSC1pe
933,AATSC7se
934,GATS4are
935,AMID_h
936,MIC4
937,BCUTi-1l
938,BCUTc-1h
939,ATS0are
940,MATS5i
941,MWC07
942,MWC05
943,AATS0d
944,MATS3c
945,ATSC3dv
946,SpAbs_A
947,SRW02
948,SM1_Dzm
949,SpDiam_Dzv
950,MATS6m_ratio_AATSC4are
951,AXp-6dv
952,AATS0dv
953,VE1_Dzpe
954,AATS0pe
955,ATSC1s
956,nBondsKS
957,AATS6are
958,MATS8i
959,MATS7c
960,ATSC7dv_ratio_BIC1
961,AATS0s
962,piPC3
963,Xp-4d
964,AATS3p
965,AATS2i
966,n6HRing
967,ATS7p
968,EState_VSA1
969,MATS8Z
970,GATS1p
971,VR2_DzZ
972,AATS8m
973,MATS5c
974,ATSC6i_diff_Xp-5dv
975,ETA_epsilon_1
976,RotRatio
977,SpDiam_A
978,Mi
979,AATSC2dv
980,ATS2se
981,MPC8
982,AATSC3se
983,VR2_Dzpe
984,GATS5c
985,AATS7i
986,VSA_EState3_multiply_AATSC2are
987,SMR_VSA5
988,MATS7v
989,AATSC4d
990,ATSC6se
991,ATS0i
992,AATSC4are
993,NsssCH
994,ATSC6v
995,bpol
996,AATSC3Z
997,MATS6s
998,ETA_epsilon_2
999,VR2_Dzse
1000,MATS8dv
1001,VE1_Dzse
1002,FCSP3
1003,GATS7s
1004,ATS6se
1005,piPC7
1006,SpMax_Dzse
1007,MATS1p
1008,IC2
1009,AATS5pe
1010,nO
1011,GATS5d
1012,AATSC0pe
1013,AATS1pe
1014,PEOE_VSA7
1015,GATS2se
1016,SsOH
1017,GATS1d
1018,GGI9
1019,GATS1se
1020,SlogP_VSA8
1021,BCUTc-1l
1022,EState_VSA10_multiply_AATS8Z
1023,ATSC2v
1024,ATSC5c
1025,AATS2are
1026,MID_C
1027,ATS0dv
1028,SIC4
1029,SssssC
1030,AATSC8p
1031,AATSC4m
1032,Sp
1033,AATSC1m
1034,VE2_Dzse
1035,AETA_beta_ns_d
1036,SssO
1037,AATSC6m
1038,AATS0m
1039,SpMAD_A
1040,GATS6s_ratio_nBondsKD
1041,SpAD_Dzm
1042,GATS6s
1043,AATSC0p
1044,NdO
1045,MWC10
1046,ATSC4are
1047,AATSC6p
1048,AATS3s
1049,GATS8p_multiply_GATS7dv
1050,AETA_beta_s
1051,JGI2
1052,ATSC6s
1053,ATSC4m
1054,ATSC2pe
1055,AATS6se
1056,ETA_dAlpha_B
1057,ATS3m
1058,fragCpx
1059,ATSC2c
1060,ATSC6i_diff_AATSC5i
1061,AATSC8Z
1062,AATSC6Z_ratio_AMID_N
1063,VR2_Dzp
1064,AATSC3pe
1065,ETA_dEpsilon_C
1066,VSA_EState8
1067,ATS5are
1068,AATS3m
1069,GATS2s
1070,ETA_eta_BR
1071,GATS8se
1072,AATS1Z
1073,ETA_shape_p
1074,EState_VSA6
1075,fMF
1076,SpAbs_Dzare
1077,SpMax_Dzpe
1078,GATS8p_sum_GATS7dv
1079,MATS3p
1080,AATSC3p
1081,ETA_dEpsilon_B
1082,GATS5Z_sum_ATSC6i
1083,JGI9
1084,VR1_Dzv
1085,AATS1se
1086,ETA_epsilon_4_ratio_SssNH
1087,SpMax_Dzp
1088,SlogP_VSA10
1089,AATS8Z
1090,AATSC4Z
1091,SM1_DzZ
1092,ATSC3se
1093,ATS7d
1094,SdsCH
1095,SIC3
1096,ETA_epsilon_4
1097,ATSC4i
1098,MATS4pe
1099,MATS7i
1100,AATSC4v
1101,AATSC2Z
1102,JGI8_multiply_Xpc-6d
1103,VE1_Dzv
1104,MATS5se
1105,AATS8are
1106,GATS6v
1107,AATS8d
1108,nBase
1109,Sm
1110,GATS7se
1111,Mm
1112,AATSC1are
1113,SpAbs_Dzm
1114,AATSC7c
1115,AATS7pe
1116,ATSC6i_diff_GATS3i
1117,MATS7d
1118,ATS2Z
1119,ATSC7se
1120,ATS3Z
1121,ATS4se
1122,ATS3pe
1123,ATSC1d
1124,MPC5
1125,MATS5are
1126,MATS8se
1127,SMR_VSA3
1128,GATS6i
1129,SlogP_VSA11
1130,GATS8pe
1131,SpDiam_Dzp_ratio_ATS3se
1132,nBondsO
1133,nBondsM
1134,AATSC2se_diff_AATSC0i
1135,VR2_Dzare
1136,ATS2p
1137,GGI3
1138,AATS3i
1139,GATS5m
1140,GATS4pe
1141,MATS6are
1142,MATS5pe
1143,AATSC2d
1144,GATS5s
1145,LogEE_Dzv
1146,ATS4m
1147,ATSC6i_diff_NaaN
1148,TIC1
1149,AATS3se
1150,MATS2pe
1151,ATS7i
1152,AXp-3d
1153,AATSC7dv
1154,ETA_beta_ratio_GATS4are
1155,SpAbs_D
1156,VR2_Dzi
1157,ATS8d
1158,AETA_alpha
1159,SM1_Dzare
1160,AATS8i
1161,AATS4s
1162,SpMax_A
1163,AATSC3c
1164,MATS7Z
1165,ATSC8pe
1166,SaaCH
1167,nARing
1168,AATS4p
1169,ATSC3c
1170,SpMax_D
1171,RPCG
1172,MATS8m
1173,GATS1i
1174,MATS8are
1175,AETA_eta_BR
1176,AATSC8i
1177,ATSC8i
1178,VR3_A
1179,MATS6v
1180,AATS1d
1181,LogEE_Dzi
1182,AATS2m
1183,naHRing
1184,MATS6se
1185,ATSC0p
1186,SlogP_VSA2
1187,AETA_eta_L
1188,ATS2s
1189,ATS5se
1190,GATS2are_sum_ATSC6i
1191,AATSC0m
1192,IC4
1193,AATSC1i
1194,C2SP2
1195,JGI5_multiply_JGI2
1196,GATS4m
1197,ATS8dv
1198,AXp-1d
1199,MATS4i
1200,ATS3se_ratio_SpDiam_Dzp
1201,AATS1dv
1202,VR1_D
1203,AATSC3v
1204,Xc-5d
1205,AATSC5are
1206,ATSC6i_diff_n5aHRing
1207,AATSC1v
1208,VE3_Dzse
1209,ATS1Z
1210,VR2_Dzm
1211,ZMIC4
1212,ATSC8s
1213,ETA_epsilon_5
1214,ATSC2i
1215,PEOE_VSA13
1216,VR1_Dzare
1217,ATS4dv
1218,PEOE_VSA2
1219,SpMax_DzZ
1220,TIC5
1221,ATS1pe
1222,ATSC8dv
1223,AATSC8dv
1224,ATSC5d
1225,EState_VSA5
1226,MATS4s
1227,SM1_Dzse
1228,MATS8v_ratio_ATS2m
1229,GATS2pe_sum_ATSC6i
1230,Kier3
1231,ATSC0v
1232,MATS5c_sum_AATS8are
1233,LogEE_A
1234,MZ
1235,nN
1236,ATSC2d
1237,IC1
1238,MATS6Z_diff_GATS3Z
1239,ATSC6i_diff_naHRing
1240,SpDiam_Dzp
1241,MATS8pe
1242,AATSC2i
1243,MATS2i
1244,RNCG
1245,ATS7v
1246,ATSC6m
1247,AETA_dBeta
1248,AATS0are
1249,ATS5m
1250,GATS6d
1251,ATS1are
1252,GATS5dv
1253,ETA_eta_B
1254,AATSC3m
1255,BIC3
1256,AATS6dv
1257,VE2_Dzare
1258,AATSC6i
1259,Xpc-4dv
1260,AATSC5m
1261,AATS0v
1262,GATS2p
1263,Mse
1264,Xpc-6dv
1265,piPC9
1266,PEOE_VSA8
1267,TIC0
1268,Xp-2d
1269,Xc-3d
1270,MATS8s
1271,ATSC4s
1272,GATS2are
1273,AATSC1dv
1274,GATS8Z
1275,ATS2pe
1276,VR1_A
1277,ATS3dv
1278,MATS4c
1279,AATS6d
1280,BCUTse-1l
1281,SRW05
1282,VE2_D
1283,SpDiam_Dzm
1284,AATSC2are
1285,GATS2c
1286,SaasC
1287,MATS5v
1288,VE1_A
1289,ATSC6i_diff_n7HRing
1290,Xp-5d
1291,AATSC5v
1292,ETA_eta_F
1293,ATSC6i_diff_GATS7dv
1294,AATS8dv
1295,MATS7m
1296,GATS1s
1297,ATSC2dv
1298,SssNH
1299,SsCl
1300,AATS6s
1301,ATSC6i_diff_SRW02
1302,MATS4dv
1303,BCUTp-1l
1304,GATS2i
1305,AATS8s
1306,AATS8p_diff_ATSC6i
1307,AATSC8s
1308,SIC0
1309,RotRatio_sum_AATS3are
1310,ATSC6i_diff_GATS7c
1311,ATSC5i
1312,AATS4se
1313,GATS8i
1314,AETA_eta
1315,VR2_A
1316,ATSC7c
1317,ATS1v
1318,AATS3dv
1319,AATSC1c
1320,GATS1c
1321,VE3_A
1322,JGI5
1323,ATS3p
1324,MATS1Z
1325,Xp-7d
1326,MATS2are
1327,AATS1s
1328,ATS8i
1329,MATS5p
1330,GATS6Z
1331,NaaCH
1332,MATS1m
1333,AATSC2pe
1334,GATS7pe_sum_ATSC6i
1335,BCUTs-1l
1336,GATS5Z
1337,ETA_shape_y
1338,MIC3
